id,time,action,Ingress/DC,SFC,n_VNFs,demand,TTL,remain,util,power,P_per_sfc,active_server,failDetail
1,1,create,9,1,4,85,65,65,0.0,0,0.0,0,-
2,1,remap,-,-,-,-,-,-,-,-,-,-,-
3,1,remap_successfully,-,-,-,-,-,-,0.0,0,0.0,0,-
4,1,deploy,2,1,4,85,65,65,0.3,299.7,299.7,1,-
5,11,create,10,2,7,162,414,414,0.3,299.7,299.7,1,-
6,11,remap,-,-,-,-,-,-,-,-,-,-,-
7,11,interrupt,-,1,4,85,65,55,0.0,-,-,-,-
8,11,redeploy,2,1,4,85,65,55,0.3,299.7,299.7,1,-
9,11,remap_successfully,-,-,-,-,-,-,0.3,299.7,299.7,1,-
10,11,deploy,2,2,7,162,414,414,1.0,933.5,466.8,3,-
11,16,create,5,3,10,231,26,26,1.0,933.5,466.8,3,-
12,16,remap,-,-,-,-,-,-,-,-,-,-,-
13,16,interrupt,-,1,4,85,65,50,0.6,-,-,-,-
14,16,interrupt,-,2,7,162,414,409,0.0,-,-,-,-
15,16,redeploy,2,2,7,162,414,409,0.6,633.8,633.8,2,-
16,16,redeploy,2,1,4,85,65,50,1.0,933.5,466.8,3,-
17,16,remap_successfully,-,-,-,-,-,-,1.0,933.5,466.8,3,-
18,16,deploy,2,3,10,231,26,26,1.9,1892.8,630.9,6,-
19,22,create,10,4,7,167,30,30,1.9,1892.8,630.9,6,-
20,22,remap,-,-,-,-,-,-,-,-,-,-,-
21,22,interrupt,-,2,7,162,414,403,1.3,-,-,-,-
22,22,interrupt,-,1,4,85,65,44,0.9,-,-,-,-
23,22,interrupt,-,3,10,231,26,20,0.0,-,-,-,-
24,22,redeploy,2,3,10,231,26,20,0.9,915.8,915.8,3,-
25,22,redeploy,2,2,7,162,414,403,1.6,1506.3,753.1,5,-
26,22,redeploy,2,1,4,85,65,44,1.9,1601.0,533.7,5,-
27,22,remap_successfully,-,-,-,-,-,-,1.9,1601.0,533.7,5,-
28,22,deploy,2,4,7,167,30,30,2.6,2240.4,560.1,7,-
29,24,create,10,5,10,246,102,102,2.6,2240.4,560.1,7,-
30,24,remap,-,-,-,-,-,-,-,-,-,-,-
31,24,interrupt,-,3,10,231,26,18,1.7,-,-,-,-
32,24,interrupt,-,2,7,162,414,401,1.0,-,-,-,-
33,24,interrupt,-,1,4,85,65,42,0.7,-,-,-,-
34,24,interrupt,-,4,7,167,30,28,0.0,-,-,-,-
35,24,redeploy,2,3,10,231,26,18,0.9,915.8,915.8,3,-
36,24,redeploy,2,2,7,162,414,401,1.6,1506.3,753.1,5,-
37,24,redeploy,2,4,7,167,30,28,2.2,1984.1,661.4,6,-
38,24,redeploy,2,1,4,85,65,42,2.6,2283.8,571.0,7,-
39,24,remap_successfully,-,-,-,-,-,-,2.6,2283.8,571.0,7,-
40,24,deploy,2,5,10,246,102,102,3.6,3173.1,634.6,10,-
41,26,create,5,6,6,132,131,131,3.6,3173.1,634.6,10,-
42,26,remap,-,-,-,-,-,-,-,-,-,-,-
43,26,interrupt,-,3,10,231,26,16,2.6,-,-,-,-
44,26,interrupt,-,2,7,162,414,399,2.0,-,-,-,-
45,26,interrupt,-,4,7,167,30,26,1.3,-,-,-,-
46,26,interrupt,-,1,4,85,65,40,1.0,-,-,-,-
47,26,interrupt,-,5,10,246,102,100,0.0,-,-,-,-
48,26,redeploy,2,3,10,231,26,16,0.9,915.8,915.8,3,-
49,26,redeploy,2,5,10,246,102,100,1.9,1891.7,945.9,6,-
50,26,redeploy,2,2,7,162,414,399,2.6,2482.3,827.4,8,-
51,26,redeploy,2,4,7,167,30,26,3.2,2873.4,718.4,9,-
52,26,redeploy,2,1,4,85,65,40,3.6,3173.1,634.6,10,-
53,26,remap_successfully,-,-,-,-,-,-,3.6,3173.1,634.6,10,-
54,26,deploy,2,6,6,132,131,131,4.1,3773.6,628.9,12,-
55,29,create,10,7,8,198,167,167,4.1,3773.6,628.9,12,-
56,29,remap,-,-,-,-,-,-,-,-,-,-,-
57,29,interrupt,-,3,10,231,26,13,3.2,-,-,-,-
58,29,interrupt,-,5,10,246,102,97,2.2,-,-,-,-
59,29,interrupt,-,2,7,162,414,396,1.5,-,-,-,-
60,29,interrupt,-,4,7,167,30,23,0.9,-,-,-,-
61,29,interrupt,-,1,4,85,65,37,0.5,-,-,-,-
62,29,interrupt,-,6,6,132,131,128,0.0,-,-,-,-
63,29,redeploy,2,3,10,231,26,13,0.9,915.8,915.8,3,-
64,29,redeploy,2,5,10,246,102,97,1.9,1891.7,945.9,6,-
65,29,redeploy,2,2,7,162,414,396,2.6,2482.3,827.4,8,-
66,29,redeploy,2,4,7,167,30,23,3.2,2873.4,718.4,9,-
67,29,redeploy,2,6,6,132,131,128,3.8,3473.9,694.8,11,-
68,29,redeploy,2,1,4,85,65,37,4.1,3773.7,628.9,12,-
69,29,remap_successfully,-,-,-,-,-,-,4.1,3773.7,628.9,12,-
70,29,deploy,2,7,8,198,167,167,4.9,4404.4,629.2,14,-
71,36,create,9,8,8,173,15,15,4.9,4404.4,629.2,14,-
72,36,remap,-,-,-,-,-,-,-,-,-,-,-
73,36,interrupt,-,3,10,231,26,6,4.0,-,-,-,-
74,36,interrupt,-,5,10,246,102,90,3.0,-,-,-,-
75,36,interrupt,-,2,7,162,414,389,2.3,-,-,-,-
76,36,interrupt,-,4,7,167,30,16,1.7,-,-,-,-
77,36,interrupt,-,6,6,132,131,121,1.1,-,-,-,-
78,36,interrupt,-,1,4,85,65,30,0.8,-,-,-,-
79,36,interrupt,-,7,8,198,167,160,0.0,-,-,-,-
80,36,redeploy,2,3,10,231,26,6,0.9,915.8,915.8,3,-
81,36,redeploy,2,5,10,246,102,90,1.9,1891.7,945.9,6,-
82,36,redeploy,2,7,8,198,167,160,2.7,2522.4,840.8,8,-
83,36,redeploy,2,2,7,162,414,389,3.3,3113.0,778.2,10,-
84,36,redeploy,2,4,7,167,30,16,4.0,3752.4,750.5,12,-
85,36,redeploy,2,6,6,132,131,121,4.5,4104.6,684.1,13,-
86,36,redeploy,2,1,4,85,65,30,4.9,4404.4,629.2,14,-
87,36,remap_successfully,-,-,-,-,-,-,4.9,4404.4,629.2,14,-
88,36,deploy,2,8,8,173,15,15,5.6,5050.6,631.3,16,-
89,38,create,7,9,6,111,178,178,5.6,5050.6,631.3,16,-
90,38,remap,-,-,-,-,-,-,-,-,-,-,-
91,38,interrupt,-,3,10,231,26,4,4.7,-,-,-,-
92,38,interrupt,-,5,10,246,102,88,3.7,-,-,-,-
93,38,interrupt,-,7,8,198,167,158,2.9,-,-,-,-
94,38,interrupt,-,2,7,162,414,387,2.2,-,-,-,-
95,38,interrupt,-,4,7,167,30,14,1.6,-,-,-,-
96,38,interrupt,-,6,6,132,131,119,1.0,-,-,-,-
97,38,interrupt,-,1,4,85,65,28,0.7,-,-,-,-
98,38,interrupt,-,8,8,173,15,13,0.0,-,-,-,-
99,38,redeploy,2,3,10,231,26,4,0.9,915.8,915.8,3,-
100,38,redeploy,2,5,10,246,102,88,1.9,1891.7,945.9,6,-
101,38,redeploy,2,7,8,198,167,158,2.7,2522.4,840.8,8,-
102,38,redeploy,2,8,8,173,15,13,3.4,3125.3,781.3,10,-
103,38,redeploy,2,2,7,162,414,387,4.0,3759.1,751.8,12,-
104,38,redeploy,2,4,7,167,30,14,4.7,4150.2,691.7,13,-
105,38,redeploy,2,6,6,132,131,119,5.2,4707.5,672.5,15,-
106,38,redeploy,2,1,4,85,65,28,5.6,5050.6,631.3,16,-
107,38,remap_successfully,-,-,-,-,-,-,5.6,5050.6,631.3,16,-
108,38,drop,-,9,6,111,178,178,5.6,5050.6,631.3,16,-
109,42,remove,2,3,10,231,26,0,4.7,4588.2,655.5,15,-
110,43,create,7,10,10,221,163,163,4.7,4588.2,655.5,15,-
111,43,remap,-,-,-,-,-,-,-,-,-,-,-
112,43,interrupt,-,5,10,246,102,83,3.7,-,-,-,-
113,43,interrupt,-,7,8,198,167,153,2.9,-,-,-,-
114,43,interrupt,-,8,8,173,15,8,2.2,-,-,-,-
115,43,interrupt,-,2,7,162,414,382,1.5,-,-,-,-
116,43,interrupt,-,4,7,167,30,9,0.9,-,-,-,-
117,43,interrupt,-,6,6,132,131,114,0.3,-,-,-,-
