id,time,action,Ingress/DC,SFC,n_VNFs,demand,TTL,remain,util,power,P_per_sfc,active_server,failDetail
1,10,create,9,1,9,209,107,107,0.0,0,0.0,0,-
2,10,remap,-,-,-,-,-,-,-,-,-,-,-
3,10,remap_successfully,-,-,-,-,-,-,0.0,0,0.0,0,-
4,10,deploy,4,1,9,209,107,107,0.8,889.6,889.6,3,-
5,11,create,9,2,7,179,44,44,0.8,889.6,889.6,3,-
6,11,remap,-,-,-,-,-,-,-,-,-,-,-
7,11,interrupt,-,1,9,209,107,106,0.0,-,-,-,-
8,11,redeploy,4,1,9,209,107,106,0.8,889.6,889.6,3,-
9,11,remap_successfully,-,-,-,-,-,-,0.8,889.6,889.6,3,-
10,11,deploy,4,2,14,179,44,44,1.5,1745.8,872.9,6,-
11,19,create,9,3,9,212,3,3,1.5,1745.8,872.9,6,-
12,19,remap,-,-,-,-,-,-,-,-,-,-,-
13,19,interrupt,-,1,9,209,107,98,0.7,-,-,-,-
14,19,interrupt,-,2,14,179,44,36,0.0,-,-,-,-
15,19,redeploy,4,2,14,179,44,36,0.7,651.1,651.1,2,-
16,19,redeploy,4,1,9,209,107,98,1.5,1540.7,770.4,5,-
17,19,remap_successfully,-,-,-,-,-,-,1.5,1540.7,770.4,5,-
18,19,deploy,4,3,9,212,3,3,2.4,2433.6,811.2,8,-
19,21,create,10,4,6,128,73,73,2.4,2433.6,811.2,8,-
20,21,remap,-,-,-,-,-,-,-,-,-,-,-
21,21,interrupt,-,2,14,179,44,34,1.7,-,-,-,-
22,21,interrupt,-,1,9,209,107,96,0.8,-,-,-,-
23,21,interrupt,-,3,9,212,3,1,0.0,-,-,-,-
24,21,redeploy,4,2,14,179,44,34,0.7,651.1,651.1,2,-
25,21,redeploy,4,1,9,209,107,96,1.5,1540.7,770.4,5,-
26,21,redeploy,4,3,9,212,3,1,2.4,2433.6,811.2,8,-
27,21,remap_successfully,-,-,-,-,-,-,2.4,2433.6,811.2,8,-
28,21,deploy,11,4,6,128,73,73,2.9,3028.6,757.1,10,-
29,22,remove,4,3,9,212,3,0,2.0,2135.7,711.9,7,-
30,24,create,5,5,4,90,148,148,2.0,2135.7,711.9,7,-
31,24,remap,-,-,-,-,-,-,-,-,-,-,-
32,24,interrupt,-,2,14,179,44,31,1.3,-,-,-,-
33,24,interrupt,-,1,9,209,107,93,0.5,-,-,-,-
34,24,interrupt,-,4,6,128,73,70,0.0,-,-,-,-
35,24,redeploy,4,2,14,179,44,31,0.7,651.1,651.1,4,-
36,24,redeploy,4,1,9,209,107,93,1.5,1540.7,770.4,7,-
37,24,redeploy,11,4,6,128,73,70,2.0,2135.7,711.9,7,-
38,24,remap_successfully,-,-,-,-,-,-,2.0,2135.7,711.9,7,-
39,24,deploy,4,5,4,90,148,148,2.4,2441.0,610.2,8,-
40,28,create,10,6,7,144,43,43,2.4,2441.0,610.2,8,-
41,28,remap,-,-,-,-,-,-,-,-,-,-,-
42,28,interrupt,-,2,14,179,44,27,1.7,-,-,-,-
43,28,interrupt,-,1,9,209,107,89,0.9,-,-,-,-
44,28,interrupt,-,4,6,128,73,66,0.4,-,-,-,-
45,28,interrupt,-,5,4,90,148,144,0.0,-,-,-,-
46,28,redeploy,4,2,14,179,44,27,0.7,651.1,651.1,4,-
47,28,redeploy,4,1,9,209,107,89,1.5,1540.7,770.4,7,-
48,28,redeploy,11,4,6,128,73,66,2.0,2135.7,711.9,7,-
49,28,redeploy,4,5,4,90,148,144,2.4,2441.0,610.2,8,-
50,28,remap_successfully,-,-,-,-,-,-,2.4,2441.0,610.2,8,-
51,28,deploy,11,6,7,144,43,43,3.0,3054.0,610.8,10,-
52,30,create,9,7,7,132,20,20,3.0,3054.0,610.8,10,-
53,30,remap,-,-,-,-,-,-,-,-,-,-,-
54,30,interrupt,-,2,14,179,44,25,2.3,-,-,-,-
55,30,interrupt,-,1,9,209,107,87,1.4,-,-,-,-
56,30,interrupt,-,4,6,128,73,64,0.9,-,-,-,-
57,30,interrupt,-,5,4,90,148,142,0.6,-,-,-,-
58,30,interrupt,-,6,7,144,43,41,0.0,-,-,-,-
59,30,redeploy,4,2,14,179,44,25,0.7,651.1,651.1,6,-
60,30,redeploy,4,1,9,209,107,87,1.5,1540.7,770.4,9,-
61,30,redeploy,11,6,7,144,43,41,2.1,2153.7,717.9,7,-
62,30,redeploy,11,4,6,128,73,64,2.6,2748.7,687.2,9,-
